Track Name,Artist Name(s),Album Name,Album Release Date,Track Duration (ms),Explicit,Popularity,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Label,song_clean,artist_clean
Pretty Little Poison,Warren Zeiders,Pretty Little Poison,2023-08-10,218260,False,80,Country,0.494,0.567,1.0,-4.156,1.0,0.0334,0.0235,2.4e-06,0.146,0.22,112.011,3.0,Warner Records,pretty little poison,warren zeiders
AMARGURA,KAROL G,MAÑANA SERÁ BONITO,2023-02-24,170480,True,85,Reggaeton,0.912,0.7,6.0,-3.331,0.0,0.068,0.163,0.0,0.174,0.535,106.981,4.0,BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO,amargura,karol g
Love Me Again,V,Layover,2023-08-11,182293,False,76,K-Pop,0.633,0.607,0.0,-6.182,0.0,0.0532,0.183,1.38e-06,0.167,0.363,74.029,4.0,BIGHIT MUSIC,love me again,v
Mona Lisa,Dominic Fike,Sunburn,2023-07-07,186066,False,70,,0.759,0.646,1.0,-7.603,1.0,0.12,0.231,0.0,0.161,0.445,111.043,4.0,Columbia,mona lisa,dominic fike
Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),2023-09-15,210688,False,92,,0.561,0.604,9.0,-4.409,1.0,0.0337,0.199,1.9e-05,0.104,0.242,159.92,3.0,Warner Records,lose control,teddy swims
Call Your Friends,Rod Wave,Nostalgia,2023-09-15,153128,True,65,,0.57,0.557,2.0,-12.055,1.0,0.105,0.143,0.0,0.0926,0.301,83.224,4.0,Alamo,call your friends,rod wave
Standing Room Only,Tim McGraw,Standing Room Only,2023-03-10,226090,False,53,Country,0.475,0.789,1.0,-6.124,1.0,0.038,0.17,0.0,0.147,0.485,155.227,4.0,"Big Machine Records, LLC",standing room only,tim mcgraw
Barely Holdin' On,Polo G,Barely Holdin' On,2023-08-18,173871,True,61,,0.723,0.59,0.0,-6.556,0.0,0.107,0.115,0.0,0.295,0.558,156.97,4.0,Columbia,barely holdin on,polo g
F*ck U Thought,Lil Durk,F*ck U Thought,2023-08-18,198000,True,52,Drill,0.741,0.494,1.0,-7.836,1.0,0.0706,0.00547,0.0,0.0638,0.0716,79.984,4.0,Alamo,fck u thought,lil durk
Summer Too Hot,Chris Brown,11:11,2023-11-10,187755,True,57,R&B,0.702,0.698,11.0,-8.04,0.0,0.0533,0.214,7.22e-06,0.189,0.262,89.976,4.0,Chris Brown Entertainment/RCA Records,summer too hot,chris brown
Used To Be Young,Miley Cyrus,Endless Summer Vacation,2023-08-18,191185,False,73,,0.626,0.63,4.0,-3.834,1.0,0.0377,0.582,0.0,0.13,0.421,147.029,4.0,Columbia,used to be young,miley cyrus
East Side of Sorrow,Zach Bryan,Zach Bryan,2023-08-25,209320,True,74,Country,0.408,0.607,10.0,-7.463,1.0,0.0391,0.236,8.02e-05,0.0972,0.169,144.136,4.0,Warner Records,east side of sorrow,zach bryan
Single Soon,Selena Gomez,Single Soon,2023-08-25,171655,False,72,Pop,0.61,0.571,2.0,-5.649,1.0,0.0782,0.00863,0.0,0.131,0.747,105.01,4.0,Interscope Records,single soon,selena gomez
Tourniquet,Zach Bryan,Zach Bryan,2023-08-25,189053,True,76,Country,0.593,0.397,6.0,-8.309,1.0,0.0329,0.684,7.44e-06,0.0982,0.32,76.703,4.0,Warner Records,tourniquet,zach bryan
